iter	Passed	Remaining
0	136	13536
1	138	6768
2	139	4503
3	140	3366
4	141	2683
5	142	2225
6	142	1895
7	143	1647
8	143	1454
9	144	1300
10	145	1175
11	146	1074
12	147	986
13	148	911
14	149	845
15	149	785
16	150	734
17	150	687
18	151	646
19	152	609
20	153	575
21	153	545
22	154	517
23	155	491
24	155	467
25	156	445
26	157	425
27	157	406
28	158	388
29	159	371
30	159	355
31	160	340
32	160	326
33	161	313
34	162	301
35	163	290
36	163	279
37	164	268
38	165	258
39	165	248
40	166	239
41	167	230
42	167	222
43	168	214
44	169	206
45	170	199
46	170	192
47	171	185
48	171	178
49	172	172
50	173	166
51	173	160
52	174	154
53	175	149
54	175	143
55	176	138
56	177	133
57	177	128
58	178	123
59	178	119
60	179	114
61	180	110
62	181	106
63	181	102
64	182	98
65	182	94
66	183	90
67	184	86
68	184	83
69	185	79
70	186	75
71	186	72
72	187	69
73	187	66
74	188	62
75	189	59
76	190	56
77	190	53
78	191	50
79	191	47
80	192	45
81	192	42
82	193	39
83	194	37
84	195	34
85	195	31
86	196	29
87	197	26
88	197	24
89	198	22
90	199	19
91	199	17
92	200	15
93	200	12
94	201	10
95	202	8
96	202	6
97	203	4
98	204	2
99	204	0
